glyph_name,ps_name,sort_final,sort_design
.notdef,.notdef,1001,11001
.null,.null,1002,11002
CR,CR,1003,11003
space,space,1004,11004
exclam,exclam,1005,11005
quotedbl,quotedbl,1006,11006
numbersign,numbersign,1007,11007
dollar,dollar,1008,11008
percent,percent,1009,11009
ampersand,ampersand,1010,11010
quotesingle,quotesingle,1011,11011
parenleft,parenleft,1012,11012
parenright,parenright,1013,11013
asterisk,asterisk,1014,11014
plus,plus,1015,11015
comma,comma,1016,11016
hyphen,hyphen,1017,11017
period,period,1018,11018
slash,slash,1019,11019
zero,zero,1020,11020
one,one,1021,11021
two,two,1022,11022
three,three,1023,11023
four,four,1024,11024
five,five,1025,11025
six,six,1026,11026
seven,seven,1027,11027
eight,eight,1028,11028
nine,nine,1029,11029
colon,colon,1030,11030
semicolon,semicolon,1031,11031
less,less,1032,11032
equal,equal,1033,11033
greater,greater,1034,11034
question,question,1035,11035
at,at,1036,11036
A,A,1037,11037
B,B,1038,11038
C,C,1039,11039
D,D,1040,11040
E,E,1041,11041
F,F,1042,11042
G,G,1043,11043
H,H,1044,11044
I,I,1045,11045
J,J,1046,11046
K,K,1047,11047
L,L,1048,11048
M,M,1049,11049
N,N,1050,11050
O,O,1051,11051
P,P,1052,11052
Q,Q,1053,11053
R,R,1054,11054
S,S,1055,11055
T,T,1056,11056
U,U,1057,11057
V,V,1058,11058
W,W,1059,11059
X,X,1060,11060
Y,Y,1061,11061
Z,Z,1062,11062
bracketleft,bracketleft,1063,11063
backslash,backslash,1064,11064
bracketright,bracketright,1065,11065
asciicircum,asciicircum,1066,11066
underscore,underscore,1067,11067
grave,grave,1068,11068
a,a,1069,11069
b,b,1070,11070
c,c,1071,11071
d,d,1072,11072
e,e,1073,11073
f,f,1074,11074
g,g,1075,11075
h,h,1076,11076
i,i,1077,11077
j,j,1078,11078
k,k,1079,11079
l,l,1080,11080
m,m,1081,11081
n,n,1082,11082
o,o,1083,11083
p,p,1084,11084
q,q,1085,11085
r,r,1086,11086
s,s,1087,11087
t,t,1088,11088
u,u,1089,11089
v,v,1090,11090
w,w,1091,11091
x,x,1092,11092
y,y,1093,11093
z,z,1094,11094
braceleft,braceleft,1095,11095
bar,bar,1096,11096
braceright,braceright,1097,11097
asciitilde,asciitilde,1098,11098
uni00A0,uni00A0,1100,11100
exclamdown,exclamdown,1101,11101
cent,cent,1102,11102
sterling,sterling,1103,11103
currency,currency,1104,11104
yen,yen,1105,11105
brokenbar,brokenbar,1106,11106
section,section,1107,11107
dieresis,dieresis,1108,11108
copyright,copyright,1109,11109
